Entity,Day,Average Confirmed Daily Cases of Monkeypox
Bahamas,1/9/2025,0
Bahamas,1/10/2025,0
Barbados,1/1/2025,0
Barbados,1/2/2025,0
Barbados,1/3/2025,0
Barbados,1/4/2025,0
Barbados,1/5/2025,0
Barbados,1/6/2025,0
Barbados,1/7/2025,0
Barbados,1/8/2025,0
Barbados,1/9/2025,0
Barbados,1/10/2025,0
Belgium,1/1/2025,1
Belgium,1/2/2025,1
Belgium,1/3/2025,1
Belgium,1/4/2025,1
Belgium,1/5/2025,1
Belgium,1/6/2025,1
Belgium,1/7/2025,0
Belgium,1/8/2025,0
Belgium,1/9/2025,0
Belgium,1/10/2025,0.57
Bermuda,1/1/2025,0
Bermuda,1/2/2025,0
Bermuda,1/3/2025,0
Bermuda,1/4/2025,0
Bermuda,1/5/2025,0
Bermuda,1/6/2025,0
Bermuda,1/7/2025,0
Bermuda,1/8/2025,0
Bermuda,1/9/2025,0
Bermuda,1/10/2025,0
Bolivia,1/1/2025,0
Bolivia,1/2/2025,0
Bolivia,1/3/2025,0
Bolivia,1/4/2025,0
Bolivia,1/5/2025,0
Bolivia,1/6/2025,0
Bolivia,1/7/2025,0
Bolivia,1/8/2025,0
Bolivia,1/9/2025,0
Bolivia,1/10/2025,0
Bosnia and Herzegovina,1/1/2025,0
Bosnia and Herzegovina,1/2/2025,0
Bosnia and Herzegovina,1/3/2025,0
Bosnia and Herzegovina,1/4/2025,0
Bosnia and Herzegovina,1/5/2025,0
Bosnia and Herzegovina,1/6/2025,0
Bosnia and Herzegovina,1/7/2025,0
Bosnia and Herzegovina,1/8/2025,0
Bosnia and Herzegovina,1/9/2025,0
Bosnia and Herzegovina,1/10/2025,0
Brazil,1/1/2025,3.71
Brazil,1/2/2025,3.71
Brazil,1/3/2025,3.71
Brazil,1/4/2025,3.71
Brazil,1/5/2025,3.71
Brazil,1/6/2025,3.14
Brazil,1/7/2025,3.14
Brazil,1/8/2025,3.14
Brazil,1/9/2025,3.14
Brazil,1/10/2025,3.14
Bulgaria,1/1/2025,0.29
Bulgaria,1/2/2025,0.29
Bulgaria,1/3/2025,0.29
Bulgaria,1/4/2025,0.29
Bulgaria,1/5/2025,0.29
Bulgaria,1/6/2025,0.29
Bulgaria,1/7/2025,0
Bulgaria,1/8/2025,0
Bulgaria,1/9/2025,0
Bulgaria,1/10/2025,0.14
Burundi,1/1/2025,12.14
Burundi,1/2/2025,12.14
Burundi,1/3/2025,12.14
Burundi,1/4/2025,12.14
Burundi,1/5/2025,12.71
Burundi,1/6/2025,12.71
Burundi,1/7/2025,12.71
Burundi,1/8/2025,12.71
Burundi,1/9/2025,12.71
Burundi,1/10/2025,12.71
Cameroon,1/1/2025,0
Cameroon,1/2/2025,0
Cameroon,1/3/2025,0
Cameroon,1/4/2025,0
Cameroon,1/5/2025,0
Cameroon,1/6/2025,0
Cameroon,1/7/2025,0
Cameroon,1/8/2025,0
Cameroon,1/9/2025,0
Cameroon,1/10/2025,0
Canada,1/1/2025,0.43
Canada,1/2/2025,0.43
Canada,1/3/2025,0.43
Canada,1/4/2025,0.43
Canada,1/5/2025,0.43
Canada,1/6/2025,1.43
Canada,1/7/2025,1.43
Canada,1/8/2025,1.43
Canada,1/9/2025,1.43
Canada,1/10/2025,1.43
Central African Republic,1/1/2025,0.29
Central African Republic,1/2/2025,0.29
Central African Republic,1/3/2025,0.29
Central African Republic,1/4/2025,0.29
Central African Republic,1/5/2025,0.57
Central African Republic,1/6/2025,0.57
Central African Republic,1/7/2025,0.57
Central African Republic,1/8/2025,0.57
Central African Republic,1/9/2025,0.57
Central African Republic,1/10/2025,0.57
Chile,1/1/2025,0.29
Chile,1/2/2025,0.29
Chile,1/3/2025,0.29
Chile,1/4/2025,0.29
Chile,1/5/2025,0.29
Chile,1/6/2025,0.43
Chile,1/7/2025,0.43
Chile,1/8/2025,0.43
Chile,1/9/2025,0.43
Chile,1/10/2025,0.43
China,1/1/2025,0.14
China,1/2/2025,0.14
China,1/3/2025,0.14
China,1/4/2025,0.14
China,1/5/2025,0.14
China,1/6/2025,0.14
China,1/7/2025,0
China,1/8/2025,4.71
China,1/9/2025,4.71
China,1/10/2025,4.71
Colombia,1/1/2025,0
Colombia,1/2/2025,0
Colombia,1/3/2025,0
Colombia,1/4/2025,0
Colombia,1/5/2025,0
Colombia,1/6/2025,0
Colombia,1/7/2025,0
Colombia,1/8/2025,0
Colombia,1/9/2025,0
Colombia,1/10/2025,0
Congo,1/1/2025,0.14
Congo,1/2/2025,0.14
Congo,1/3/2025,0.14
Congo,1/4/2025,0.14
Congo,1/5/2025,0
Congo,1/6/2025,0
Congo,1/7/2025,0
Congo,1/8/2025,0
Congo,1/9/2025,0
Congo,1/10/2025,0
Costa Rica,1/1/2025,0.14
Costa Rica,1/2/2025,0.14
Costa Rica,1/3/2025,0.14
Costa Rica,1/4/2025,0.14
Costa Rica,1/5/2025,0.14
Costa Rica,1/6/2025,0
Costa Rica,1/7/2025,0
Costa Rica,1/8/2025,0
Costa Rica,1/9/2025,0
Costa Rica,1/10/2025,0
Cote d'Ivoire,1/1/2025,0
Cote d'Ivoire,1/2/2025,0
Cote d'Ivoire,1/3/2025,0
Cote d'Ivoire,1/4/2025,0
Cote d'Ivoire,1/5/2025,0
Cote d'Ivoire,1/6/2025,0
Cote d'Ivoire,1/7/2025,0
Cote d'Ivoire,1/8/2025,0
Cote d'Ivoire,1/9/2025,0
Cote d'Ivoire,1/10/2025,0
Croatia,1/1/2025,0
Croatia,1/2/2025,0
Croatia,1/3/2025,0
Croatia,1/4/2025,0
Croatia,1/5/2025,0
Croatia,1/6/2025,0
Croatia,1/7/2025,0
Croatia,1/8/2025,0
Croatia,1/9/2025,0
Croatia,1/10/2025,0.29
Cuba,1/1/2025,0
Cuba,1/2/2025,0
Cuba,1/3/2025,0
Cuba,1/4/2025,0
Cuba,1/5/2025,0
Cuba,1/6/2025,0
Cuba,1/7/2025,0
Cuba,1/8/2025,0
Cuba,1/9/2025,0
Cuba,1/10/2025,0
Curacao,1/1/2025,0
Curacao,1/2/2025,0
Curacao,1/3/2025,0
Curacao,1/4/2025,0
Curacao,1/5/2025,0
Curacao,1/6/2025,0
Curacao,1/7/2025,0
Curacao,1/8/2025,0
Curacao,1/9/2025,0
Curacao,1/10/2025,0
Cyprus,1/1/2025,0.14
Cyprus,1/2/2025,0.14
Cyprus,1/3/2025,0.14
Cyprus,1/4/2025,0.14
Cyprus,1/5/2025,0.14
Cyprus,1/6/2025,0.14
Cyprus,1/7/2025,0
Cyprus,1/8/2025,0
Cyprus,1/9/2025,0
Cyprus,1/10/2025,0
Czechia,1/1/2025,0.29
Czechia,1/2/2025,0.29
Czechia,1/3/2025,0.29
Czechia,1/4/2025,0.29
Czechia,1/5/2025,0.29
Czechia,1/6/2025,0.29
Czechia,1/7/2025,0
Czechia,1/8/2025,0
Czechia,1/9/2025,0
Czechia,1/10/2025,0.86
Democratic Republic of Congo,1/1/2025,33.29
Democratic Republic of Congo,1/2/2025,33.29
Democratic Republic of Congo,1/3/2025,33.29
Democratic Republic of Congo,1/4/2025,33.29
Democratic Republic of Congo,1/5/2025,69.71
Democratic Republic of Congo,1/6/2025,69.71
Democratic Republic of Congo,1/7/2025,69.71
Democratic Republic of Congo,1/8/2025,69.71
Democratic Republic of Congo,1/9/2025,69.71
Democratic Republic of Congo,1/10/2025,69.71
Denmark,1/1/2025,0.29
Denmark,1/2/2025,0.29
Denmark,1/3/2025,0.29
Denmark,1/4/2025,0.29
Denmark,1/5/2025,0.29
Denmark,1/6/2025,0.29
Denmark,1/7/2025,0
Denmark,1/8/2025,0
Denmark,1/9/2025,0
Denmark,1/10/2025,0.71
Dominican Republic,1/1/2025,0
Dominican Republic,1/2/2025,0
Dominican Republic,1/3/2025,0
Dominican Republic,1/4/2025,0
Dominican Republic,1/5/2025,0
Dominican Republic,1/6/2025,0
Dominican Republic,1/7/2025,0
Dominican Republic,1/8/2025,0
Dominican Republic,1/9/2025,0
Dominican Republic,1/10/2025,0
Ecuador,1/1/2025,0
Ecuador,1/2/2025,0
Ecuador,1/3/2025,0
Ecuador,1/4/2025,0
Ecuador,1/5/2025,0
Ecuador,1/6/2025,0
Ecuador,1/7/2025,0
Ecuador,1/8/2025,0
Ecuador,1/9/2025,0
Ecuador,1/10/2025,0
El Salvador,1/1/2025,0
El Salvador,1/2/2025,0
El Salvador,1/3/2025,0
El Salvador,1/4/2025,0
El Salvador,1/5/2025,0
El Salvador,1/6/2025,0
El Salvador,1/7/2025,0
El Salvador,1/8/2025,0
El Salvador,1/9/2025,0
El Salvador,1/10/2025,0
Estonia,1/1/2025,0
Estonia,1/2/2025,0
Estonia,1/3/2025,0
Estonia,1/4/2025,0
Estonia,1/5/2025,0
Estonia,1/6/2025,0
Estonia,1/7/2025,0
Estonia,1/8/2025,0
Estonia,1/9/2025,0
Estonia,1/10/2025,0
Europe,1/1/2025,28.86
Europe,1/2/2025,28.86
Europe,1/3/2025,28.86
Europe,1/4/2025,28.86
Europe,1/5/2025,28.86
Europe,1/6/2025,28.86
Europe,1/7/2025,0
Europe,1/8/2025,0
Europe,1/9/2025,0
Europe,1/10/2025,31
Finland,1/1/2025,0
Finland,1/2/2025,0
Finland,1/3/2025,0
Finland,1/4/2025,0
Finland,1/5/2025,0
Finland,1/6/2025,0
Finland,1/7/2025,0
Finland,1/8/2025,0
Finland,1/9/2025,0
Finland,1/10/2025,0
France,1/1/2025,1.71
France,1/2/2025,1.71
France,1/3/2025,1.71
France,1/4/2025,1.71
France,1/5/2025,1.71
France,1/6/2025,1.71
France,1/7/2025,0
France,1/8/2025,0
France,1/9/2025,0
France,1/10/2025,1.29
Georgia,1/1/2025,0
Georgia,1/2/2025,0
Georgia,1/3/2025,0
Georgia,1/4/2025,0
Georgia,1/5/2025,0
Georgia,1/6/2025,0
Georgia,1/7/2025,0
Georgia,1/8/2025,0
Georgia,1/9/2025,0
Georgia,1/10/2025,0
Germany,1/1/2025,7.14
Germany,1/2/2025,7.14
Germany,1/3/2025,7.14
Germany,1/4/2025,7.14
Germany,1/5/2025,7.14
Germany,1/6/2025,7.14
Germany,1/7/2025,0
Germany,1/8/2025,0
Germany,1/9/2025,0
Germany,1/10/2025,7
Ghana,1/1/2025,0
Ghana,1/2/2025,0
Ghana,1/3/2025,0
Ghana,1/4/2025,0
Ghana,1/5/2025,0
Ghana,1/6/2025,0
Ghana,1/7/2025,0
Ghana,1/8/2025,0
Ghana,1/9/2025,0
Ghana,1/10/2025,0
Gibraltar,1/1/2025,0
Gibraltar,1/2/2025,0
Gibraltar,1/3/2025,0
Gibraltar,1/4/2025,0
Gibraltar,1/5/2025,0
Gibraltar,1/6/2025,0
Gibraltar,1/7/2025,0
Gibraltar,1/8/2025,0
Gibraltar,1/9/2025,0
Gibraltar,1/10/2025,0
Greece,1/1/2025,3.14
Greece,1/2/2025,3.14
Greece,1/3/2025,3.14
Greece,1/4/2025,3.14
Greece,1/5/2025,3.14
Greece,1/6/2025,3.14
Greece,1/7/2025,0
Greece,1/8/2025,0
Greece,1/9/2025,0
Greece,1/10/2025,1.29
Greenland,1/1/2025,0
Greenland,1/2/2025,0
Greenland,1/3/2025,0
Greenland,1/4/2025,0
Greenland,1/5/2025,0
Greenland,1/6/2025,0
Greenland,1/7/2025,0
Greenland,1/8/2025,0
Greenland,1/9/2025,0
Greenland,1/10/2025,0
Guadeloupe,1/1/2025,0
Guadeloupe,1/2/2025,0
Guadeloupe,1/3/2025,0
Guadeloupe,1/4/2025,0
Guadeloupe,1/5/2025,0
Guadeloupe,1/6/2025,0
Guadeloupe,1/7/2025,0
Guadeloupe,1/8/2025,0
Guadeloupe,1/9/2025,0
Guadeloupe,1/10/2025,0
Guatemala,1/1/2025,0
Guatemala,1/2/2025,0
Guatemala,1/3/2025,0
Guatemala,1/4/2025,0
Guatemala,1/5/2025,0
Guatemala,1/6/2025,0
Guatemala,1/7/2025,0
Guatemala,1/8/2025,0
Guatemala,1/9/2025,0
Guatemala,1/10/2025,0
Guinea,1/1/2025,0
Guinea,1/2/2025,0
Guinea,1/3/2025,0
Guinea,1/4/2025,0
Guinea,1/5/2025,0
Guinea,1/6/2025,0
Guinea,1/7/2025,0
Guinea,1/8/2025,0
Guinea,1/9/2025,0
Guinea,1/10/2025,0
Guyana,1/1/2025,0
Guyana,1/2/2025,0
Guyana,1/3/2025,0
Guyana,1/4/2025,0
Guyana,1/5/2025,0
Guyana,1/6/2025,0
Guyana,1/7/2025,0
Guyana,1/8/2025,0
Guyana,1/9/2025,0
Guyana,1/10/2025,0
Honduras,1/1/2025,0
Honduras,1/2/2025,0
Honduras,1/3/2025,0
Honduras,1/4/2025,0
Honduras,1/5/2025,0
Honduras,1/6/2025,0
Honduras,1/7/2025,0
Honduras,1/8/2025,0
Honduras,1/9/2025,0
Honduras,1/10/2025,0
Hungary,1/1/2025,0
Hungary,1/2/2025,0
Hungary,1/3/2025,0
Hungary,1/4/2025,0
Hungary,1/5/2025,0
Hungary,1/6/2025,0
Hungary,1/7/2025,0
Hungary,1/8/2025,0
Hungary,1/9/2025,0
Hungary,1/10/2025,0
Iceland,1/1/2025,0
Iceland,1/2/2025,0
Iceland,1/3/2025,0
Iceland,1/4/2025,0
Iceland,1/5/2025,0
Iceland,1/6/2025,0
Iceland,1/7/2025,0
Iceland,1/8/2025,0
Iceland,1/9/2025,0
Iceland,1/10/2025,0
India,1/1/2025,0.43
India,1/2/2025,0.43
India,1/3/2025,0.43
India,1/4/2025,0.43
India,1/5/2025,0.43
India,1/6/2025,0.43
India,1/7/2025,0
India,1/8/2025,0
India,1/9/2025,0
India,1/10/2025,0
Indonesia,1/1/2025,0
Indonesia,1/2/2025,0
Indonesia,1/3/2025,0
Indonesia,1/4/2025,0
Indonesia,1/5/2025,0
Indonesia,1/6/2025,0
Indonesia,1/7/2025,0
Indonesia,1/8/2025,0
Indonesia,1/9/2025,0
Indonesia,1/10/2025,0
Ireland,1/1/2025,0.71
Ireland,1/2/2025,0.71
Ireland,1/3/2025,0.71
Ireland,1/4/2025,0.71
Ireland,1/5/2025,0.71
Ireland,1/6/2025,0.71
Ireland,1/7/2025,0
Ireland,1/8/2025,0
Ireland,1/9/2025,0
Ireland,1/10/2025,1.29
Israel,1/1/2025,1.57
Israel,1/2/2025,1.57
Israel,1/3/2025,1.57
Israel,1/4/2025,1.57
Israel,1/5/2025,1.57
Israel,1/6/2025,1.57
Israel,1/7/2025,0
Israel,1/8/2025,0
Israel,1/9/2025,0
Israel,1/10/2025,0.57
Italy,1/1/2025,1.14
Italy,1/2/2025,1.14
Italy,1/3/2025,1.14
Italy,1/4/2025,1.14
Italy,1/5/2025,1.14
Italy,1/6/2025,1.14
Italy,1/7/2025,0
Italy,1/8/2025,0
Italy,1/9/2025,0
Italy,1/10/2025,3.14
Jamaica,1/1/2025,0
Jamaica,1/2/2025,0
Jamaica,1/3/2025,0
Jamaica,1/4/2025,0
Jamaica,1/5/2025,0
Jamaica,1/6/2025,0
Jamaica,1/7/2025,0
Jamaica,1/8/2025,0
Jamaica,1/9/2025,0
Jamaica,1/10/2025,0
Kenya,1/1/2025,0.29
Kenya,1/2/2025,0.29
Kenya,1/3/2025,0.29
Kenya,1/4/2025,0.29
Kenya,1/5/2025,0
Kenya,1/6/2025,0
Kenya,1/7/2025,0
Kenya,1/8/2025,0
Kenya,1/9/2025,0
Kenya,1/10/2025,0
Kosovo,1/1/2025,0.14
Kosovo,1/2/2025,0.14
Kosovo,1/3/2025,0.14
Kosovo,1/4/2025,0.14
Kosovo,1/5/2025,0.14
Kosovo,1/6/2025,0.14
Kosovo,1/7/2025,0
Kosovo,1/8/2025,0
Kosovo,1/9/2025,0
Kosovo,1/10/2025,0
Latvia,1/1/2025,0
Latvia,1/2/2025,0
Latvia,1/3/2025,0
Latvia,1/4/2025,0
Latvia,1/5/2025,0
Latvia,1/6/2025,0
Latvia,1/7/2025,0
Latvia,1/8/2025,0
Latvia,1/9/2025,0
Latvia,1/10/2025,0
Lebanon,1/1/2025,0
Lebanon,1/2/2025,0
Lebanon,1/3/2025,0.14
Liberia,1/1/2025,0
Liberia,1/2/2025,0
Liberia,1/3/2025,0
Liberia,1/4/2025,0
Liberia,1/5/2025,0
Liberia,1/6/2025,0
Liberia,1/7/2025,0
Liberia,1/8/2025,0
Liberia,1/9/2025,0
Liberia,1/10/2025,0
Lithuania,1/1/2025,0
Lithuania,1/2/2025,0
Lithuania,1/3/2025,0
Lithuania,1/4/2025,0
Lithuania,1/5/2025,0
Lithuania,1/6/2025,0
Lithuania,1/7/2025,0
Lithuania,1/8/2025,0
Lithuania,1/9/2025,0
Lithuania,1/10/2025,0
Luxembourg,1/1/2025,0
Luxembourg,1/2/2025,0
Luxembourg,1/3/2025,0
Luxembourg,1/4/2025,0
Luxembourg,1/5/2025,0
Luxembourg,1/6/2025,0
Luxembourg,1/7/2025,0
Luxembourg,1/8/2025,0
Luxembourg,1/9/2025,0
Luxembourg,1/10/2025,0
Malaysia,1/1/2025,0
Malaysia,1/2/2025,0
Malaysia,1/3/2025,0
Malaysia,1/4/2025,0
Malaysia,1/5/2025,0
Malaysia,1/6/2025,0
Malaysia,1/7/2025,0
Malaysia,1/8/2025,0
Malaysia,1/9/2025,0
Malaysia,1/10/2025,0.29
Malta,1/1/2025,0.43
Malta,1/2/2025,0.43
Malta,1/3/2025,0.43
Malta,1/4/2025,0.43
Malta,1/5/2025,0.43
Malta,1/6/2025,0.43
Malta,1/7/2025,0
Malta,1/8/2025,0
Malta,1/9/2025,0
Malta,1/10/2025,0.43
Martinique,1/1/2025,0
Martinique,1/2/2025,0
Martinique,1/3/2025,0
Martinique,1/4/2025,0
Martinique,1/5/2025,0
Martinique,1/6/2025,0
Martinique,1/7/2025,0
Martinique,1/8/2025,0
Martinique,1/9/2025,0
Martinique,1/10/2025,0
Mexico,1/1/2025,0
Mexico,1/2/2025,0
Mexico,1/3/2025,0
Mexico,1/4/2025,0
Mexico,1/5/2025,0
Mexico,1/6/2025,0
Mexico,1/7/2025,0
Mexico,1/8/2025,0
Mexico,1/9/2025,0
Mexico,1/10/2025,0
Moldova,1/1/2025,0
Moldova,1/2/2025,0
Moldova,1/3/2025,0
Moldova,1/4/2025,0
Moldova,1/5/2025,0
Moldova,1/6/2025,0
Moldova,1/7/2025,0
Moldova,1/8/2025,0
Moldova,1/9/2025,0
Moldova,1/10/2025,0
Monaco,1/1/2025,0
Monaco,1/2/2025,0
Monaco,1/3/2025,0
Monaco,1/4/2025,0
Monaco,1/5/2025,0
Monaco,1/6/2025,0
Monaco,1/7/2025,0
Monaco,1/8/2025,0
Monaco,1/9/2025,0
Monaco,1/10/2025,0
Montenegro,1/1/2025,0
Montenegro,1/2/2025,0
Montenegro,1/3/2025,0
Montenegro,1/4/2025,0
Montenegro,1/5/2025,0
Montenegro,1/6/2025,0
Montenegro,1/7/2025,0
Montenegro,1/8/2025,0
Montenegro,1/9/2025,0
Montenegro,1/10/2025,0
Nepal,1/1/2025,0.29
Nepal,1/2/2025,0.29
Nepal,1/3/2025,0.29
Nepal,1/4/2025,0.29
Nepal,1/5/2025,0.29
Nepal,1/6/2025,0.29
Nepal,1/7/2025,0
Nepal,1/8/2025,0
Nepal,1/9/2025,0
Nepal,1/10/2025,0
Netherlands,1/1/2025,2.29
Netherlands,1/2/2025,2.29
Netherlands,1/3/2025,2.29
Netherlands,1/4/2025,2.29
Netherlands,1/5/2025,2.29
Netherlands,1/6/2025,2.29
Netherlands,1/7/2025,0
Netherlands,1/8/2025,0
Netherlands,1/9/2025,0
Netherlands,1/10/2025,2
New Zealand,1/1/2025,0
New Zealand,1/2/2025,0
New Zealand,1/3/2025,0
New Zealand,1/4/2025,0
New Zealand,1/5/2025,0
New Zealand,1/6/2025,0
New Zealand,1/7/2025,0
New Zealand,1/8/2025,0
New Zealand,1/9/2025,0
New Zealand,1/10/2025,0
Nigeria,1/1/2025,0.57
Nigeria,1/2/2025,0.57
Nigeria,1/3/2025,0.57
Nigeria,1/4/2025,0.57
Nigeria,1/5/2025,0.29
Nigeria,1/6/2025,0.29
Nigeria,1/7/2025,0.29
Nigeria,1/8/2025,0.29
Nigeria,1/9/2025,0.29
Nigeria,1/10/2025,0.29
North America,1/1/2025,3.86
North America,1/2/2025,3.86
North America,1/3/2025,3.86
North America,1/4/2025,3.86
North America,1/5/2025,3.86
North America,1/6/2025,3.43
North America,1/7/2025,3.43
North America,1/8/2025,3.43
North America,1/9/2025,3.43
North America,1/10/2025,3.43
Norway,1/1/2025,0
Norway,1/2/2025,0
Norway,1/3/2025,0
Norway,1/4/2025,0
Norway,1/5/2025,0
Norway,1/6/2025,0
Norway,1/7/2025,0
Norway,1/8/2025,0
Norway,1/9/2025,0
Norway,1/10/2025,0.29
Oceania,1/1/2025,5.29
Oceania,1/2/2025,5.29
Oceania,1/3/2025,5.29
Oceania,1/4/2025,5.29
Oceania,1/5/2025,6.71
Oceania,1/6/2025,6.71
Oceania,1/7/2025,3.29
Oceania,1/8/2025,3.29
Oceania,1/9/2025,3.29
Oceania,1/10/2025,3.29
Oman,1/1/2025,0
Oman,1/2/2025,0
Oman,1/3/2025,0
Oman,1/4/2025,0
Oman,1/5/2025,0
Oman,1/6/2025,0
Oman,1/7/2025,0
Oman,1/8/2025,0
Oman,1/9/2025,0
Oman,1/10/2025,0
Pakistan,1/1/2025,0
Pakistan,1/2/2025,0
Pakistan,1/3/2025,0
Pakistan,1/4/2025,0
Pakistan,1/5/2025,0
Pakistan,1/6/2025,0
Pakistan,1/7/2025,0
Pakistan,1/8/2025,0
Pakistan,1/9/2025,0
Pakistan,1/10/2025,0
Panama,1/1/2025,0
Panama,1/2/2025,0
Panama,1/3/2025,0
Panama,1/4/2025,0
Panama,1/5/2025,0
Panama,1/6/2025,0
Panama,1/7/2025,0
Panama,1/8/2025,0
Panama,1/9/2025,0
Panama,1/10/2025,0
Paraguay,1/1/2025,0
Paraguay,1/2/2025,0
Paraguay,1/3/2025,0
Paraguay,1/4/2025,0
Paraguay,1/5/2025,0
Paraguay,1/6/2025,0
Paraguay,1/7/2025,0
Paraguay,1/8/2025,0
Paraguay,1/9/2025,0
Paraguay,1/10/2025,0
Peru,1/1/2025,0
Peru,1/2/2025,0
Peru,1/3/2025,0
Peru,1/4/2025,0
Peru,1/5/2025,0
Peru,1/6/2025,0
Peru,1/7/2025,0
Peru,1/8/2025,0
Peru,1/9/2025,0
Peru,1/10/2025,0
Philippines,1/1/2025,4
Philippines,1/2/2025,3
Philippines,1/3/2025,3
Philippines,1/4/2025,3
Philippines,1/5/2025,3
Philippines,1/6/2025,3
Philippines,1/7/2025,0
Philippines,1/8/2025,0
Philippines,1/9/2025,0
Philippines,1/10/2025,0
Poland,1/1/2025,0.29
Poland,1/2/2025,0.29
Poland,1/3/2025,0.29
Poland,1/4/2025,0.29
Poland,1/5/2025,0.29
Poland,1/6/2025,0.29
Poland,1/7/2025,0
Poland,1/8/2025,0
Poland,1/9/2025,0
Poland,1/10/2025,0.86
Portugal,1/1/2025,0.29
Portugal,1/2/2025,0.29
Portugal,1/3/2025,0.29
Portugal,1/4/2025,0.29
Portugal,1/5/2025,0.29
Portugal,1/6/2025,0.29
Portugal,1/7/2025,0
Portugal,1/8/2025,0
Portugal,1/9/2025,0
Portugal,1/10/2025,0.29
Qatar,1/1/2025,0
Qatar,1/2/2025,0
Qatar,1/3/2025,0
Qatar,1/4/2025,0
Qatar,1/5/2025,0
Qatar,1/6/2025,0
Qatar,1/7/2025,0
Qatar,1/8/2025,0
Qatar,1/9/2025,0
Qatar,1/10/2025,0
Romania,1/1/2025,0
Romania,1/2/2025,0
Romania,1/3/2025,0
Romania,1/4/2025,0
Romania,1/5/2025,0
Romania,1/6/2025,0
Romania,1/7/2025,0
Romania,1/8/2025,0
Romania,1/9/2025,0
Romania,1/10/2025,0.14
Russia,1/1/2025,0
Russia,1/2/2025,0
Russia,1/3/2025,0
Russia,1/4/2025,0
Russia,1/5/2025,0
Russia,1/6/2025,0
Russia,1/7/2025,0
Russia,1/8/2025,0
Russia,1/9/2025,0
Russia,1/10/2025,0
Rwanda,1/1/2025,0.57
Rwanda,1/2/2025,0.57
Rwanda,1/3/2025,0.57
Rwanda,1/4/2025,0.57
Rwanda,1/5/2025,0.71
Rwanda,1/6/2025,0.71
Rwanda,1/7/2025,0.71
Rwanda,1/8/2025,0.71
Rwanda,1/9/2025,0.71
Rwanda,1/10/2025,0.71
Saint Martin (French part),1/1/2025,0
Saint Martin (French part),1/2/2025,0
Saint Martin (French part),1/3/2025,0
Saint Martin (French part),1/4/2025,0
Saint Martin (French part),1/5/2025,0
Saint Martin (French part),1/6/2025,0
Saint Martin (French part),1/7/2025,0
Saint Martin (French part),1/8/2025,0
Saint Martin (French part),1/9/2025,0
Saint Martin (French part),1/10/2025,0
San Marino,1/1/2025,0
San Marino,1/2/2025,0
San Marino,1/3/2025,0
San Marino,1/4/2025,0
San Marino,1/5/2025,0
San Marino,1/6/2025,0
San Marino,1/7/2025,0
San Marino,1/8/2025,0
San Marino,1/9/2025,0
